,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
65,65,Georgia Tech,13,178,46,22,12,4,1,0,0,0
66,65,Nebraska,12,178,61,30,17,7,3,1,1,0
67,65,Nevada,13,178,58,23,11,6,4,3,1,0
68,69,Florida International,13,180,52,21,7,3,3,1,1,0
69,69,Middle Tennessee,14,180,65,34,21,11,5,0,0,0
70,69,Western Kentucky,12,180,62,33,16,6,3,2,1,0
71,72,Kent State,12,181,79,42,25,9,4,2,1,1
72,73,Florida Atlantic,12,182,53,24,14,6,5,1,1,1
73,73,Georgia State,12,182,79,43,27,20,13,7,3,2
74,75,Bowling Green,12,183,62,33,14,5,4,2,1,0
75,75,East Carolina,12,183,75,35,19,13,10,8,3,0
76,75,North Carolina State,13,183,73,32,13,6,4,3,3,1
77,75,UCLA,12,183,54,33,16,9,3,1,0,0
78,79,Indiana,12,184,54,26,14,9,3,2,0,0
79,79,Ohio,13,184,59,31,16,11,5,5,1,0
80,81,Baylor,13,185,69,41,26,19,11,4,1,0
81,81,Pittsburgh,14,185,79,37,20,8,7,3,0,0
82,81,South Alabama,12,185,75,38,23,14,5,2,0,0
83,84,Duke,13,186,60,25,12,6,4,2,2,0
84,85,Old Dominion,12,187,60,32,21,12,9,5,2,0
85,86,Arizona,12,188,63,22,11,9,3,0,0,0
86,86,Toledo,13,188,76,41,19,8,6,1,0,0
87,88,Louisiana-Monroe,12,189,70,27,12,7,4,2,1,0
88,89,Navy,13,191,59,28,18,12,6,3,0,0
89,89,Northern Illinois,14,191,56,25,12,6,4,3,0,0
90,89,SMU,12,191,62,25,8,5,2,1,0,0
91,92,Coastal Carolina,12,192,82,40,19,8,5,3,0,0
92,93,Ball State,12,193,48,19,13,3,1,0,0,0
93,93,Colorado State,12,193,63,30,18,10,4,1,1,0
94,93,Syracuse,13,193,72,34,24,15,9,3,1,0
95,93,Western Michigan,13,193,67,32,15,9,5,3,0,0
96,97,New Mexico,12,194,70,39,21,9,1,1,1,1
97,97,Virginia Tech,13,194,76,42,23,13,9,8,4,2
98,97,West Virginia,12,194,62,24,11,3,2,0,0,0
99,100,UNLV,12,195,84,40,19,7,7,2,1,0
100,101,Texas,14,196,59,28,18,10,4,1,0,0
101,101,UTSA,12,196,72,31,13,6,2,1,0,0
102,103,Stanford,13,197,56,26,14,7,3,0,0,0
103,103,Texas Tech,12,197,63,35,16,4,2,1,0,0
104,105,Arizona State,13,198,61,22,8,3,1,0,0,0
105,105,Tulane,13,198,68,35,11,7,5,3,2,0
106,107,Northwestern,14,201,61,21,12,4,2,1,0,0
107,108,Kansas,12,202,51,24,12,7,3,2,1,0
108,109,New Mexico State,12,203,62,31,14,9,4,3,0,0
109,109,San Jose State,12,203,75,33,17,7,4,2,1,0
110,111,Hawai'i,14,204,70,35,25,12,7,4,0,0
111,111,Liberty,12,204,77,25,20,9,5,2,1,0
112,111,Massachusetts,12,204,84,36,17,9,6,4,0,0
113,111,Wake Forest,13,204,65,36,20,14,7,3,0,0
114,115,Mississippi,12,206,72,33,13,10,7,3,0,0
115,115,Oklahoma State,13,206,88,34,15,11,6,3,2,0
116,117,South Carolina,13,208,56,16,8,3,0,0,0,0
117,117,Vanderbilt,13,208,66,26,11,7,5,4,1,0
118,119,Purdue,13,211,67,34,16,9,5,3,1,0
119,120,Ohio State,14,213,67,39,23,12,8,7,4,2
120,121,Illinois,12,214,77,35,21,12,7,1,1,0
121,121,Louisiana-Lafayette,14,214,71,36,15,9,4,3,1,1
122,121,Rice,13,214,78,40,23,10,5,2,1,1
123,124,Memphis,14,216,71,35,25,12,4,2,0,0
124,124,Oregon State,12,216,89,40,24,11,6,3,0,0
125,124,UCF,13,216,62,25,13,5,4,3,1,0
126,127,South Florida,13,217,72,37,19,6,2,2,1,0
127,128,Houston,13,224,67,41,19,12,3,2,1,1
128,129,Oklahoma,14,229,74,33,19,7,2,1,0,0
129,130,Connecticut,12,260,109,55,28,16,9,5,0,0
